Fecha Programada,Hora Programada,Código Post,Título,Idea/Brief,ESTADO,Drive Folder ID,URLs,☑ base.txt,☑ instagram.txt,☑ linkedin.txt,☑ twitter.txt,☑ facebook.txt,☑ tiktok.txt,☑ prompt_imagen_base.txt,☑ imagen_base.png,☑ instagram_1x1.png,☑ instagram_stories_9x16.png,☑ linkedin_16x9.png,☑ twitter_16x9.png,☑ facebook_16x9.png,☑ script_video_base.txt,☑ video_base.mp4,☑ feed_16x9.mp4,☑ stories_9x16.mp4,☑ shorts_9x16.mp4,☑ tiktok_9x16.mp4,☑ Blog,☑ Instagram,☑ LinkedIn,☑ Twitter,☑ Facebook,☑ TikTok,Fecha Real Publicación,Notas/Errores,Feedback,,,,,,
,,20251021-1,Cómo preparar la transición perfecta en el Ironman 70.3 de Valencia,"Guía completa sobre T1 y T2 en Valencia: preparación, equipamiento, estrategias y errores comunes",READY_TO_PUBLISH,16V-6TJlmecK5MDu6YKAS6h1-18BZ_z00,https://drive.google.com/drive/folders/16V-6TJlmecK5MDu6YKAS6h1-18BZ_z00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,20251021-2,Estrategia nutricional definitiva para el Ironman 70.3 de Valencia,"Plan completo de alimentación e hidratación desde pre-carrera hasta post-meta, adaptado al clima mediterráneo",READY_TO_PUBLISH,1aMUJt9j4W3-EirvanFBabVp7GT1JLpT8,https://drive.google.com/drive/folders/1aMUJt9j4W3-EirvanFBabVp7GT1JLpT8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,20251021-3,Domina los 90km del bike en el Ironman 70.3 de Valencia,"Análisis del circuito llano: estrategia de potencia, aerodinámica, gestión del viento y errores comunes",IMAGE_PROMPT_AWAITING,1hwqPK8VLahxxXvxkEGSD4jmogCDa5J_0,https://drive.google.com/drive/folders/1hwqPK8VLahxxXvxkEGSD4jmogCDa5J_0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,,20251021-4,Te acabas de inscribir al Ironman 70.3 de Valencia: Plan de acción 6 meses,"Guía completa primera semana post-inscripción: evaluación, planificación, equipo, nutrición y mentalidad",IMAGE_PROMPT_AWAITING,1ENFV56rlz-R-ohmQJAw3Uh49TLIVx48R,https://drive.google.com/drive/folders/1ENFV56rlz-R-ohmQJAw3Uh49TLIVx48R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
23/10/2025,15:32:28,20251023-1,Entrenamiento en Montaña: La Ventaja Secreta en tu Fase Build de Ironman,Entrenamiento en Montaña: La Ventaja Secreta en tu Fase Build de Ironman,IMAGE_BASE_AWAITING,11snAODTgR65LBu7abSMXk4wsDIQ1KDcu,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Creado por IA - Categoría: training-science,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
24/10/2025,14:33:15,20251024-1,Optimiza tu Posición de Triatlón: Guía Completa de Adaptaciones para Bicicletas de Carretera,Optimiza tu Posición de Triatlón: Guía Completa de Adaptaciones para Bicicletas de Carretera,IMAGE_PROMPT_AWAITING,1-elzQJ0z6asrtvw3uw5dds24-Sdb-yFb,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Creado por IA - Categoría: training,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
29/10/2025,14:26:40,20251029-1,La Técnica de Natación que Todo Triatleta Debe Dominar: Los 5 Pilares Fundamentales,La Técnica de Natación que Todo Triatleta Debe Dominar: Los 5 Pilares Fundamentales,BASE_TEXT_AWAITING,1DN_dXVneDeoGZzkCl2m-wyl9m1pmUBa1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Creado por IA - Categoría: training,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29/10/2025,15:16:55,20251029-2,Los Mejores Cascos Aerodinámicos para Triatlón 2024: Guía Completa,Los Mejores Cascos Aerodinámicos para Triatlón 2024: Guía Completa,BASE_TEXT_AWAITING,1dKoo7h7JbQ2Kfu7mQ4AzATk-0BUKf0N1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Creado por IA - Categoría: racing,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29/10/2025,15:21:37,20251029-3,Nutrición en Ironman: La Estrategia que Marca la Diferencia,Nutrición en Ironman,BASE_TEXT_AWAITING,1-wbX8-Goq-2lVB403dLiLppNGj36EtGj,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Creado por IA - Categoría: training,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29/10/2025,15:27:40,20251029-4,Nutrición e Hidratación para tu Primer Ironman: Guía Completa,Estrategias de nutrición e hidratación para completar tu primer Ironman,BASE_TEXT_AWAITING,1z8Z_AJRgpixFGMtqzjoq6NDeBNcm1smo,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Creado por IA - Categoría: training,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
